kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
cerita,38,6,0,3,0,0.0,0.1117824773413897,0.1818181818181818,0.0,0.25,0.0,0.0,0,mudah
menangis,9,8,1,3,0,0.375,0.0241691842900302,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
sekolah,54,7,0,3,0,0.0,0.1601208459214501,0.2272727272727272,0.0,0.25,0.0,0.0,0,mudah
bu,204,2,1,1,0,1.0,0.6132930513595166,0.0,1.0,0.0,0.0,1.0,1,sulit
terkadang,1,9,1,3,0,0.2222,0.0,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
sukai,1,5,0,3,0,0.2,0.0,0.1363636363636363,0.0,0.25,0.0,0.2,0,mudah
kebaikan,2,8,1,4,0,0.25,0.0030211480362537,0.2727272727272727,1.0,0.375,0.0,0.25,1,sulit
takut,13,5,0,2,0,0.2,0.0362537764350453,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
suka,40,4,0,2,0,0.25,0.1178247734138972,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
teman,332,5,0,2,0,0.4,1.0,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
slb,1,3,1,1,0,0.3333,0.0,0.0454545454545454,1.0,0.0,0.0,0.3333,1,sulit
bibir,9,5,1,2,0,0.4,0.0241691842900302,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
rahasia,5,7,0,4,0,0.0,0.0120845921450151,0.2272727272727272,0.0,0.375,0.0,0.0,0,mudah
bibirmu,1,7,1,3,0,0.5714,0.0,0.2272727272727272,1.0,0.25,0.0,0.5714,1,sulit
dengar,5,6,1,2,0,0.3333,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
cantik,6,6,0,2,0,0.1667,0.0151057401812688,0.1818181818181818,0.0,0.125,0.0,0.1667,0,mudah
iya,41,3,0,2,0,0.0,0.120845921450151,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
disukai,3,7,1,4,0,0.2857,0.0060422960725075,0.2272727272727272,1.0,0.375,0.0,0.2857,1,sulit
tersenyum,22,9,1,3,0,0.3333,0.0634441087613293,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
mengejek,3,8,1,3,0,0.25,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
ketiga,8,6,0,3,0,0.0,0.0211480362537764,0.1818181818181818,0.0,0.25,0.0,0.0,0,mudah
hibur,1,5,1,2,0,0.4,0.0,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
temanmu,6,7,0,3,0,0.5714,0.0151057401812688,0.2272727272727272,0.0,0.25,0.0,0.5714,0,mudah
bersedih,4,8,1,3,0,0.25,0.0090634441087613,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
keempat,2,7,1,3,0,0.2857,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
malu,14,4,0,2,0,0.5,0.039274924471299,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
memuji,3,6,0,3,0,0.5,0.0060422960725075,0.1818181818181818,0.0,0.25,0.0,0.5,0,mudah
sayang,5,6,1,2,0,0.1667,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
namanya,14,7,1,3,0,0.4286,0.039274924471299,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
manis,17,5,0,2,0,0.4,0.0483383685800604,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
ucapkan,2,7,1,3,0,0.4286,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
tolong,5,6,1,2,0,0.1667,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
maaf,20,4,0,2,0,0.25,0.0574018126888217,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
salah,28,5,0,2,0,0.0,0.0815709969788519,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
terima,28,6,0,3,0,0.1667,0.0815709969788519,0.1818181818181818,0.0,0.25,0.0,0.1667,0,mudah
kasih,30,5,0,2,0,0.0,0.0876132930513595,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
mengikuti,11,9,1,4,0,0.3333,0.0302114803625377,0.3181818181818182,1.0,0.375,0.0,0.3333,1,sulit
pesankan,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
membantu,44,8,1,3,0,0.625,0.1299093655589124,0.2727272727272727,1.0,0.25,0.0,0.625,1,sulit
kesulitan,3,9,0,4,0,0.2222,0.0060422960725075,0.3181818181818182,0.0,0.375,0.0,0.2222,0,mudah
sedih,15,5,1,2,0,0.2,0.0422960725075528,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
ingatlah,1,8,1,3,0,0.125,0.0,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
ayo,42,3,0,2,0,0.0,0.1238670694864048,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
berangkat,12,9,1,3,0,0.2222,0.0332326283987915,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
telat,7,5,0,2,0,0.0,0.0181268882175226,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
lo,5,2,0,1,0,0.0,0.0120845921450151,0.0,0.0,0.0,0.0,0.0,0,mudah
